obs_p,obs_q,obs_teta
0.0,2.398,0.2929166666666666
0.0001,2.49,0.2920833333333332
0.0,2.49,0.2921666666666666
0.0,2.38,0.2922499999999999
0.0,2.344,0.2920833333333332
0.0,2.526,0.2919999999999999
0.0012999999999999,2.416,0.2924166666666667
0.0,2.289,0.29375
0.0001,2.344,0.294
0.0,2.325,0.294
0.0001,2.344,0.2940833333333333
0.0,2.362,0.2950833333333333
0.0,2.38,0.2959999999999999
0.0,2.398,0.2959999999999999
0.0001,2.398,0.2959999999999999
0.0,2.398,0.2959166666666666
0.0,2.38,0.2959999999999999
0.0,2.398,0.2959166666666665
0.0,2.38,0.2958333333333332
0.0,2.38,0.2955833333333332
0.0,2.38,0.2951666666666666
0.0001,2.344,0.295
0.0008999999999999,2.307,0.295
0.0007,2.325,0.2958333333333332
0.0,2.38,0.297
0.0,2.435,0.2974166666666667
0.0,2.435,0.298
0.0,2.435,0.298
0.0,2.416,0.298
0.0005,2.435,0.298
0.0,2.435,0.29775
0.0,2.38,0.2970833333333333
0.0,2.398,0.297
0.0,2.325,0.297
0.0003,2.253,0.297
0.0001,2.253,0.297
0.0,2.253,0.297
0.0,2.235,0.297
0.0,2.181,0.297
0.0,2.199,0.297
0.0,2.145,0.297
0.0,2.145,0.29675
0.0,2.127,0.2965833333333333
0.0,2.109,0.2960833333333332
0.0,2.092,0.2959999999999999
0.0,2.074,0.2959999999999999
0.0,2.092,0.2959999999999999
0.0,2.092,0.2959999999999999
0.0,2.074,0.2959999999999999
0.0,2.056,0.2959999999999999
0.0,2.038,0.2959999999999999
0.0,2.038,0.2959999999999999
0.0,2.038,0.2959999999999999
0.0,2.038,0.2959999999999999
0.0,2.038,0.2959999999999999
0.0,2.056,0.2959999999999999
0.0,2.038,0.2953333333333333
0.0,2.021,0.295
0.0,2.038,0.295
0.0,2.056,0.295
0.0,2.056,0.295
0.0,2.021,0.295
0.0,2.003,0.2949166666666666
0.0,2.003,0.2944166666666666
0.0,1.968,0.294
0.0,1.985,0.294
0.0,1.968,0.294
0.0002,1.968,0.294
0.0,1.968,0.294
0.0001,1.968,0.294
0.0,1.985,0.294
0.0,1.968,0.294
0.0,1.968,0.294
0.0,1.968,0.294
0.0,1.968,0.2935833333333333
0.0,1.968,0.2930833333333333
0.0,1.968,0.2930833333333334
0.0,1.985,0.293
0.0,2.003,0.293
0.0,1.985,0.293
0.0,1.968,0.293
0.0,1.968,0.293
0.0,2.003,0.293
0.0,2.003,0.293
0.0,1.985,0.2928333333333333
0.0,1.968,0.2920833333333332
0.0,1.95,0.2919999999999999
0.0,1.95,0.2919999999999999
0.0,1.933,0.2919999999999999
0.0,1.95,0.2919999999999999
0.0,1.95,0.2919999999999999
0.0,1.933,0.2919999999999999
0.0,1.933,0.2919999999999999
0.0,1.915,0.2919999999999999
0.0,1.915,0.2919999999999999
0.0,1.915,0.2919999999999999
0.0,1.897,0.2919999999999999
0.0,1.88,0.2919999999999999
0.0,1.88,0.2919999999999999
0.0,1.88,0.2919166666666665
0.0,1.88,0.2917499999999999
0.0,1.88,0.2912499999999999
0.0,1.897,0.291
0.0,1.897,0.291
0.0,1.88,0.291
0.0,1.88,0.291
0.0,1.88,0.291
0.0,1.88,0.2906666666666666
0.0,1.897,0.29025
0.0,1.863,0.29
0.0,1.845,0.29
0.0,1.828,0.29
0.0,1.81,0.29
0.0,1.828,0.29
0.0,1.81,0.2895
0.0,1.81,0.289
0.0,1.776,0.289
0.0,1.793,0.289
0.0,1.793,0.289
0.0,1.776,0.289
0.0,1.758,0.289
0.0,1.758,0.289
0.0,1.741,0.289
0.0,1.741,0.289
0.0,1.793,0.289
0.0,1.776,0.289
0.0,1.81,0.2881666666666665
0.0,1.793,0.2879999999999999
0.0003,1.793,0.2879999999999999
0.0007,1.793,0.2879999999999999
0.0008,1.793,0.2874166666666666
0.0,1.81,0.2879999999999999
0.0,1.828,0.2879166666666665
0.0,1.81,0.2870833333333333
0.0,1.81,0.287
0.0,1.793,0.287
0.0,1.793,0.287
0.0,1.81,0.287
0.0,1.81,0.287
0.0,1.793,0.287
0.0,1.758,0.2869166666666666
0.0,1.758,0.2864166666666666
0.0001,1.758,0.286
0.0,1.741,0.286
0.0,1.741,0.286
0.0,1.724,0.286
0.0,1.724,0.286
0.0,1.724,0.286
0.0,1.741,0.286
0.0,1.741,0.286
0.0,1.741,0.286
0.0,1.776,0.2858333333333333
0.0,1.81,0.28525
0.0,1.741,0.285
0.0,1.741,0.285
0.0,1.758,0.285
0.0,1.741,0.285
0.0046999999999999,1.95,0.28475
0.0019,2.975,0.2850833333333333
0.0005,2.918,0.2861666666666666
0.0001,3.534,0.287
0.0,3.089,0.287
0.0,2.712,0.287
0.0003,2.656,0.2870833333333333
0.0089,3.127,0.2871666666666666
0.0021,2.805,0.288
0.0001,2.956,0.2942499999999999
0.0,3.108,0.29625
0.0,3.456,0.297
0.0,3.612,0.297
0.0,3.651,0.297
0.0,3.475,0.2961666666666666
0.0,3.456,0.2959999999999999
0.0,3.166,0.2959999999999999
0.0,3.07,0.2959999999999999
0.0,2.956,0.2959999999999999
0.0,2.749,0.2956666666666666
0.0,2.656,0.295
0.0,2.582,0.295
0.0,2.453,0.29475
0.0002,2.398,0.294
0.0,2.325,0.294
0.0,2.289,0.2939166666666666
0.0,2.307,0.29325
0.0,2.235,0.293
0.0,2.181,0.293
0.0,2.344,0.293
0.0,2.307,0.293
0.0,2.235,0.293
0.0,2.145,0.2928333333333333
0.0,2.092,0.2920833333333332
0.0,2.056,0.2919999999999999
0.0,2.038,0.2919999999999999
0.0,2.003,0.2919999999999999
0.0,1.968,0.2919999999999999
0.0,1.968,0.2919999999999999
0.0,1.95,0.2919999999999999
0.0,1.95,0.2917499999999999
0.0,1.95,0.291
0.0,1.915,0.291
0.0,1.897,0.291
0.0008999999999999,1.88,0.2907499999999999
0.0,1.968,0.2969166666666666
0.0,2.712,0.3004166666666667
0.0,2.6,0.30175
0.0,2.843,0.302
0.0,2.956,0.302
0.0,2.862,0.302
0.0,2.637,0.3019166666666666
0.0,2.582,0.3010833333333333
0.0,2.526,0.301
0.0,2.619,0.301
0.0,2.563,0.3004999999999999
0.0,2.416,0.2999999999999999
0.0,2.307,0.2999999999999999
0.0,2.235,0.2999999999999999
0.0,2.181,0.2997499999999999
0.0,2.127,0.299
0.0,2.109,0.299
0.0,2.074,0.299
0.0,2.074,0.2985833333333333
0.0,2.056,0.298
0.0,2.074,0.2979166666666666
0.0,2.021,0.297
0.0,2.003,0.297
0.0,1.968,0.2962499999999999
0.0,1.95,0.2959999999999999
0.0,1.915,0.2959999999999999
0.0,1.915,0.2951666666666666
0.0001,1.828,0.295
0.0,1.915,0.295
0.0,1.863,0.2941666666666667
0.0,1.724,0.294
0.0,1.741,0.294
0.0,1.758,0.294
0.0,1.758,0.29375
0.0,1.758,0.293
0.0,1.758,0.293
0.0,1.758,0.293
0.0,1.758,0.293
0.0,1.776,0.2924166666666666
0.0,1.776,0.2919999999999999
0.0,1.776,0.2919999999999999
0.0,1.758,0.2919999999999999
0.0,1.776,0.2919999999999999
0.0,1.758,0.2911666666666666
0.0,1.845,0.291
0.0,1.741,0.291
0.0,1.724,0.2905
0.0,1.707,0.29
0.0,1.69,0.28975
